url,title,rest_type,rest_price,rest_facility,rest_longlat,rating,review
https://www.zomato.com/jakarta/wakacao-1-kelapa-gading/info,Wakacao,Indonesian,Rp150.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1675310000,106.9017520000']",3.8,56
https://www.zomato.com/jakarta/the-coffee-bean-tea-leaf-kelapa-gading/info,The Coffee Bean & Tea Leaf,Coffee|Tea|Desserts|American|Italian,Rp110.000 for two people (approx.),Takeaway Available|Indoor Seating|Brunch|Wifi|Table booking not available|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1573410000,106.9078880000']",3.0,61
https://www.zomato.com/jakarta/angke-kelapa-gading-kelapa-gading/info,Angke Kelapa Gading,Chinese,Rp450.000 for two people (approx.),Indoor Seating|Wifi|Valet Parking Available|Private Dining Area Available|Praying Room|Table reservation required|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1526380000,106.8925760000']",4.5,363
https://www.zomato.com/jakarta/ikan-nila-pak-ugi-kelapa-gading/info,Ikan Nila Pak Ugi,Seafood,Rp100.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1635880000,106.9036890000']",3.9,113
https://www.zomato.com/jakarta/hong-kong-sheng-kee-dessert-1-kelapa-gading/info,Hong Kong Sheng Kee Dessert,Chinese|Dimsum|Desserts,Rp220.000 for two people (approx.),Takeaway Available|Table booking recommended|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1572550000,106.9084300000']",4.1,257
https://www.zomato.com/jakarta/pappa-jack-kopitiam-kelapa-gading/info,Pappa Jack Kopitiam,Peranakan|Coffee,Rp330.000 for two people (approx.),Breakfast|Takeaway Available|Table booking recommended|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1713986588,106.8987610191']",3.1,114
https://www.zomato.com/jakarta/bakpao-lompobattang-kelapa-gading/info,Bakpao Lompobattang,Chinese,Rp36.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1488131926,106.9105067477']",3.6,35
https://www.zomato.com/jakarta/soto-ayam-ambengan-kelapa-gading/info,Soto Ayam Ambengan,Jawa|Soto|Indonesian,Rp100.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Wifi|Indoor Seating|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1683799854,106.9004632160']",3.1,28
https://www.zomato.com/jakarta/negiya-express-kelapa-gading/info,Negiya Express,Japanese,Rp180.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Table booking recommended|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1568761359,106.9100651890']",4.3,"1,047"
https://www.zomato.com/jakarta/sushi-go-kelapa-gading/info,Sushi Go!,Japanese|Sushi,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1574894853,106.9079556316']",4.5,"2,888"
https://www.zomato.com/jakarta/pan-co-japanese-fluffy-pancakes-kelapa-gading/info,Pan & Co. Japanese Fluffy Pancakes,Western,Rp200.000 for two people (approx.),Takeaway Available|Wifi|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1577271580,106.9079432264']",4.0,396
https://www.zomato.com/jakarta/bakmi-copin-kelapa-gading/info,Bakmi Copin,Bakmi,Rp80.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1483608401,106.9105771557']",3.9,29
https://www.zomato.com/jakarta/kyochon-kelapa-gading/info,Kyochon,Korean,Rp150.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Beer|Indoor Seating|Wifi|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.1576114884,106.9079911709']",4.0,173
https://www.zomato.com/jakarta/the-darwins-theory-kelapa-gading/info,The Darwin's Theory,Bakery|Coffee|Italian,Rp200.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Beer|Smoking Area|Outdoor Seating|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1531090000,106.9074350000']",2.7,9
https://www.zomato.com/jakarta/myeong-ga-myeon-ok-kelapa-gading/info,Myeong Ga Myeon Ok,Korean,Rp350.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Beer|Wifi|Indoor Seating|Private Dining Area Available|Smoking Area|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.1556960000,106.8936870000']",4.0,94
https://www.zomato.com/jakarta/liang-sandwich-bar-kelapa-gading/info,Liang Sandwich Bar,Taiwanese,Rp90.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Table booking not available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1503720000,106.8913410000']",3.3,39
https://www.zomato.com/jakarta/flip-burger-1-kelapa-gading/info,Flip Burger,Burger,Rp120.000 for two people (approx.),Takeaway Available|Wifi|Smoking Area|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1592060000,106.9058400000']",3.9,230
https://www.zomato.com/jakarta/bakmi-gm-kelapa-gading/info,Bakmi GM,Bakmi,Rp125.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1562911200,106.9087817520']",3.8,150
https://www.zomato.com/jakarta/hokben-1-kelapa-gading/info,HokBen,Fast Food|Japanese,Rp150.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1584015078,106.9076572359']",3.5,57
https://www.zomato.com/jakarta/pho-24-kelapa-gading/info,Pho 24,Vietnamese,Rp230.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1566280000,106.9096100000']",2.5,21
https://www.zomato.com/jakarta/yakiniku-like-1-kelapa-gading/info,Yakiniku Like,Japanese|BBQ|Grill,Rp200.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Table booking recommended|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1507810000,106.8921960000']",4.3,159
